epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,1791.18,1.02591,2.71699,1.16871,0.64226,0.16107,0.21415,0.16597,1.30523,3.26087,1.34207,2.77916e-05,2.77916e-05,2.77916e-05
41,1829.18,1.08921,2.6101,1.18244,0.62656,0.17951,0.22776,0.17577,1.31012,3.20456,1.34774,2.5376e-05,2.5376e-05,2.5376e-05
42,1866.72,1.10955,2.57221,1.2445,0.57816,0.19103,0.2322,0.17935,1.3055,3.16852,1.34248,2.29604e-05,2.29604e-05,2.29604e-05
43,1903.71,1.09531,2.61192,1.22276,0.64,0.1891,0.23368,0.17914,1.30287,3.13937,1.34228,2.05448e-05,2.05448e-05,2.05448e-05
44,1940.96,1.08872,2.54169,1.19388,0.70681,0.17059,0.23347,0.17992,1.3068,3.10909,1.34432,1.81292e-05,1.81292e-05,1.81292e-05
45,1978.46,1.07105,2.49034,1.20501,0.72393,0.16862,0.23451,0.18259,1.31129,3.10598,1.34815,1.57136e-05,1.57136e-05,1.57136e-05
46,2019.36,1.14214,2.49445,1.25394,0.76756,0.16598,0.23598,0.18272,1.3158,3.10136,1.35154,1.3298e-05,1.3298e-05,1.3298e-05
47,2064.26,1.1095,2.59356,1.24999,0.77126,0.16738,0.23673,0.18126,1.31858,3.09325,1.3549,1.08824e-05,1.08824e-05,1.08824e-05
48,2109.49,1.09378,2.48955,1.21653,0.59648,0.19698,0.23778,0.18302,1.31333,3.09991,1.34865,8.4668e-06,8.4668e-06,8.4668e-06
49,2153.83,1.10951,2.59954,1.21402,0.59813,0.19656,0.23888,0.18282,1.3147,3.0944,1.35308,6.0512e-06,6.0512e-06,6.0512e-06
50,2197.79,1.08503,2.50166,1.22016,0.5914,0.20246,0.2411,0.18433,1.31307,3.07817,1.35215,3.6356e-06,3.6356e-06,3.6356e-06
