epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,2018.93,1.02591,2.71699,1.16871,0.64226,0.16107,0.21415,0.16597,1.29904,3.28474,1.33625,2.77916e-05,2.77916e-05,2.77916e-05
41,2058.95,1.08921,2.6101,1.18244,0.62656,0.17951,0.22776,0.17577,1.30222,3.22987,1.34026,2.5376e-05,2.5376e-05,2.5376e-05
42,2123.97,1.10955,2.57221,1.2445,0.57816,0.19103,0.2322,0.17935,1.29885,3.19367,1.33592,2.29604e-05,2.29604e-05,2.29604e-05
43,2220.87,1.09531,2.61192,1.22276,0.64,0.1891,0.23368,0.17914,1.29652,3.16569,1.33609,2.05448e-05,2.05448e-05,2.05448e-05
44,2313.18,1.08872,2.54169,1.19388,0.70681,0.17059,0.23347,0.17992,1.30073,3.13756,1.33863,1.81292e-05,1.81292e-05,1.81292e-05
45,2355.87,1.07105,2.49034,1.20501,0.72393,0.16862,0.23451,0.18259,1.30463,3.13378,1.34203,1.57136e-05,1.57136e-05,1.57136e-05
46,2399.5,1.14214,2.49445,1.25394,0.76756,0.16598,0.23598,0.18272,1.3088,3.12959,1.34539,1.3298e-05,1.3298e-05,1.3298e-05
47,2443.74,1.1095,2.59356,1.24999,0.77126,0.16738,0.23673,0.18126,1.31171,3.12203,1.34933,1.08824e-05,1.08824e-05,1.08824e-05
48,2501.63,1.09378,2.48955,1.21653,0.59648,0.19698,0.23778,0.18302,1.30736,3.12588,1.34303,8.4668e-06,8.4668e-06,8.4668e-06
49,2600.67,1.10951,2.59954,1.21402,0.59813,0.19656,0.23888,0.18282,1.30941,3.1208,1.34781,6.0512e-06,6.0512e-06,6.0512e-06
50,2679.55,1.08503,2.50166,1.22016,0.5914,0.20246,0.2411,0.18433,1.30835,3.10564,1.34683,3.6356e-06,3.6356e-06,3.6356e-06
